empresa,nicho,cidade,telefone,email,site,linkedin,instagram,google_maps_url,status
"Grupo MM Eventos","empresa de eventos corporativos","Avenida Paulista 1439 Cjs: 81, 83, 84 - Bela Vista, São Paulo - SP, 01311-926","01121752450","ti@grupommeventos.com","http://grupommeventos.com.br/","https://www.linkedin.com/company/grupo-mm-full-experience","https://www.instagram.com/grupommfullexperience","https://www.google.com.br/maps/place/Grupo+MM+Eventos/data=!4m7!3m6!1s0x94ce59c8d86c56a7:0x6a2547b37c1e656b!8m2!3d-23.5627456!4d-46.6554805!16s%2Fg%2F1q5gqnm4z!19sChIJp1Zs2MhZzpQRa2UefLNHJWo?authuser=0&hl=pt-BR&rclk=1","new"
"i2 Produções | Agência de Eventos Corporativos","empresa de eventos corporativos","R. Mourato Coelho, 957 - Vila Madalena, São Paulo - SP, 05417-011","011955517920","camila@i2producoes.com.br","http://www.i2producoes.com.br/","","https://www.instagram.com/explore","https://www.google.com.br/maps/place/i2+Produ%C3%A7%C3%B5es+%7C+Ag%C3%AAncia+de+Eventos+Corporativos/data=!4m7!3m6!1s0x94ce57a65189cea9:0xd54830802542dbfb!8m2!3d-23.5595646!4d-46.6905853!16s%2Fg%2F11c1q86ryh!19sChIJqc6JUaZXzpQR-9tCJYAwSNU?authuser=0&hl=pt-BR&rclk=1","new"
"Bureau de Eventos","empresa de eventos corporativos","Edifício Amadeus Mozart - Cinelândia - Praça Floriano, 55 - sala 702 - Centro, Rio de Janeiro - RJ, 20031-050","02133233500","eventos@bureaueventos.com.br","http://www.bureaueventos.com.br/","https://www.linkedin.com/company/bureau-de-eventos-ltda","https://www.instagram.com/bureaueventos","https://www.google.com.br/maps/place/Bureau+de+Eventos/data=!4m7!3m6!1s0x9bd6bca93ab3e1:0x620ce4ba254d5234!8m2!3d-22.9105127!4d-43.1763172!16s%2Fg%2F1tqcmfpz!19sChIJ4bM6qbzWmwARNFJNJbrkDGI?authuser=0&hl=pt-BR&rclk=1","new"
"Evolution Promoções e Eventos","empresa de eventos corporativos","R. Arquias Cordeiro, 464 - Todos os Santos, Rio de Janeiro - RJ, 20770-000","021935005155","comercial@gepromo.com.br","https://gepromo.com.br/","https://www.linkedin.com/company/evolutionpromocoes","https://www.instagram.com/evolutionpromocoes_","https://www.google.com.br/maps/place/Evolution+Promo%C3%A7%C3%B5es+e+Eventos/data=!4m7!3m6!1s0x7ab1861932e47bf:0x168a11c1ef63a7b8!8m2!3d-22.8995705!4d-43.2797703!16s%2Fg%2F11c1s3nm_w!19sChIJv0cuk2EYqwcRuKdj78ERihY?authuser=0&hl=pt-BR&rclk=1","generic_email"
"Eventos Corporativos - NLX Eventos","empresa de eventos corporativos","505 85, Rua Francisco Dantas - Freguesia (Jacarepaguá), Rio de Janeiro - RJ, 22753-045","02133238629","","http://nlxeventos.com.br/","","","https://www.google.com.br/maps/place/Eventos+Corporativos+-+NLX+Eventos/data=!4m7!3m6!1s0x9bd832cc8f5039:0x23831f07a8e4948f!8m2!3d-22.9466546!4d-43.3407577!16s%2Fg%2F11bw82lhrb!19sChIJOVCPzDLYmwARj5TkqAcfgyM?authuser=0&hl=pt-BR&rclk=1","extracted"
"CMC EVENTOS : Eventos Sociais e Eventos Corporativos Rio de Janeiro RJ","empresa de eventos corporativos","R. Raimundo Corrêa - Copacabana, Rio de Janeiro - RJ, 24732-210","02130790402","","","","","https://www.google.com.br/maps/place/CMC+EVENTOS+:+Eventos+Sociais+e+Eventos+Corporativos+Rio+de+Janeiro+RJ/data=!4m7!3m6!1s0x9bd5448180ad47:0x6215fa14e3d507e7!8m2!3d-22.9713704!4d-43.1890802!16s%2Fg%2F11f545n3mk!19sChIJR62AgUTVmwAR5wfV4xT6FWI?authuser=0&hl=pt-BR&rclk=1","extracted"
"Agência Unique","empresa de eventos corporativos","R. Alm. Barroso, 81 - Centro, Rio de Janeiro - RJ, 20031-004","021970894722","mauricio.bastos@agenciaunique.com","http://www.agenciaunique.com/","","https://www.instagram.com/agencia.unique","https://www.google.com.br/maps/place/Ag%C3%AAncia+Unique/data=!4m7!3m6!1s0x9bd5b307944ed7:0xb14d4edbc9fbcda7!8m2!3d-22.9073956!4d-43.1751701!16s%2Fg%2F11rfcxd1qm!19sChIJ106UB7PVmwARp837ydtOTbE?authuser=0&hl=pt-BR&rclk=1","new"
"Agência RioTHP","empresa de eventos corporativos","Rua Siqueira Campos, 143 - Copacabana, Rio de Janeiro - RJ, 22031-071","021969663379","comercial@riothp.com.br","http://www.riothp.com.br/","https://www.linkedin.com/company/rio-thp-eventos","https://www.instagram.com/agenciariothp","https://www.google.com.br/maps/place/Ag%C3%AAncia+RioTHP/data=!4m7!3m6!1s0x9bd57811de3873:0x8af9457771f43642!8m2!3d-22.9669282!4d-43.187908!16s%2Fg%2F11jznyzmkp!19sChIJczjeEXjVmwARQjb0cXdF-Yo?authuser=0&hl=pt-BR&rclk=1","generic_email"
"Home Book Produções e Eventos","empresa de eventos corporativos","Av. Mal. Câmara, 160 - Sala 1107/581 - Centro, Rio de Janeiro - RJ, 20020-080","02135186632","","https://homebookeventos.wixsite.com/homebookeventos","https://www.linkedin.com/in/ricardo-oliveira-825699147/","https://www.instagram.com/homebookeventos","https://www.google.com.br/maps/place/Home+Book+Produ%C3%A7%C3%B5es+e+Eventos/data=!4m7!3m6!1s0x9bd9502f0145af:0x21be14ade0f35ea4!8m2!3d-22.9095897!4d-43.1691335!16s%2Fg%2F11h81gs1dj!19sChIJr0UBL1DZmwARpF7z4K0UviE?authuser=0&hl=pt-BR&rclk=1","extracted"
"Dtalhe Expertise em Eventos","empresa de eventos corporativos","Praia do Flamengo, 66 - Flamengo, Rio de Janeiro - RJ, 22210-030","02122205282","contato@dtalhe.com.br","http://www.dtalhe.com.br/","https://www.linkedin.com/company/dtalhe","https://www.instagram.com/dtalhe","https://www.google.com.br/maps/place/Dtalhe+Expertise+em+Eventos/data=!4m7!3m6!1s0x997f70c49e5c8b:0xf9d8b9a5dc251ca6!8m2!3d-22.9268479!4d-43.1737702!16s%2Fg%2F11g_dx6pc!19sChIJi1yexHB_mQARphwl3KW52Pk?authuser=0&hl=pt-BR&rclk=1","generic_email"
"FIXE Eventos - Empresa de Organização e Produção de Eventos | Brasília","empresa de eventos corporativos","51 - SCLN 111, Bloco D, Sala 201 - Asa Norte, Brasília - DF, 70754-540","061981516108","","https://www.fixeeventos.com.br/","","","https://www.google.com.br/maps/place/FIXE+Eventos+-+Empresa+de+Organiza%C3%A7%C3%A3o+e+Produ%C3%A7%C3%A3o+de+Eventos+%7C+Bras%C3%ADlia/data=!4m7!3m6!1s0x935a2f25abdcf0a9:0xcb75d66e1f052798!8m2!3d-15.7528543!4d-47.8899846!16s%2Fg%2F11h2k2zm9f!19sChIJqfDcqyUvWpMRmCcFH27Wdcs?authuser=0&hl=pt-BR&rclk=1","extracted"
"Joob Eventos","empresa de eventos corporativos","Condomínio do Edifício Centro Empresarial Norte - SRTVN, Quadra 701, Bloco C, Ala B - Sala 730 - Asa Norte, Brasília - DF, 70719-903","06132745420","milenabbrandao@gmail.com","http://joobeventos.com.br/","","","https://www.google.com.br/maps/place/Joob+Eventos/data=!4m7!3m6!1s0x935a3a88dfa9f0d5:0x6dc4c12b26113e49!8m2!3d-15.7849947!4d-47.8902081!16s%2Fg%2F11sd994n52!19sChIJ1fCp34g6WpMRST4RJivBxG0?authuser=0&hl=pt-BR&rclk=1","new"
"HY Produções e Eventos","empresa de eventos corporativos","SHN Q. 1 Edificio LE QUARTIER, BL A Sala 1001 - Asa Norte, Brasília - DF, 70701-010","061983558250","hyproducoeseeventos@gmail.com","https://hyproducoeseeventos.com.br/","","https://www.instagram.com/hyproducoeseeventos","https://www.google.com.br/maps/place/HY+Produ%C3%A7%C3%B5es+e+Eventos/data=!4m7!3m6!1s0x935a3b8b5a44a539:0xa1421b392ea058ed!8m2!3d-15.7895417!4d-47.8872821!16s%2Fg%2F11vz6r1bpy!19sChIJOaVEWos7WpMR7VigLjkbQqE?authuser=0&hl=pt-BR&rclk=1","new"
"Way Promoções e Eventos I Agência de Eventos","empresa de eventos corporativos","St. de Habitações Individuais Sul QI 5 Centro Comercial Gilberto Salomão Lote F Bloco E, Sala 7 - Lago Sul, Brasília - DF, 71615-907","061982127816","michelle@waypromo.com.br","https://waypromo.com.br/","","https://www.instagram.com/waypromo","https://www.google.com.br/maps/place/Way+Promo%C3%A7%C3%B5es+e+Eventos+I+Ag%C3%AAncia+de+Eventos/data=!4m7!3m6!1s0x935a3bc1795d81b7:0x57f9703d7d1e0c6!8m2!3d-15.8461357!4d-47.8950315!16s%2Fg%2F11h3l0hgf0!19sChIJt4FdecE7WpMRxuDR1wOXfwU?authuser=0&hl=pt-BR&rclk=1","new"
"Mood Eventos","empresa de eventos corporativos","EDIF VIA IMPORT CENTER - SIA TRECHO 05 LOTE 05/35, SALA 329 - SIA, Brasília - DF, 71205-050","","filler@godaddy.com","https://moodeventos.com.br/","","https://www.instagram.com/moodeventos2","https://www.google.com.br/maps/place/Mood+Eventos/data=!4m7!3m6!1s0x935a31d0cfc579f5:0x9c5d337b098479!8m2!3d-15.7955775!4d-47.9509147!16s%2Fg%2F11qyd90b1v!19sChIJ9XnFz9AxWpMReYQJezNdnAA?authuser=0&hl=pt-BR&rclk=1","new"
"Lummi Formaturas e Eventos Brasília DF","empresa de eventos corporativos","SRTVS Qd 701, Bloco k, Edifício Embassy Tower Salas 614 e 615 - Asa Sul, Brasília - DF, 70340-908","06130392505","contato@lummieventos.com.br","https://lummieventos.com.br/","","https://www.instagram.com/lummieventosbrasilia","https://www.google.com.br/maps/place/Lummi+Formaturas+e+Eventos+Bras%C3%ADlia+DF/data=!4m7!3m6!1s0x935a3ae1fec97839:0x5b20bed2a68d5eab!8m2!3d-15.797287!4d-47.8947315!16s%2Fg%2F11h15n0sq!19sChIJOXjJ_uE6WpMRq16NptK-IFs?authuser=0&hl=pt-BR&rclk=1","generic_email"
"DESIGN STAND E EVENTOS","empresa de eventos corporativos","STRC4/Sul, Bl F, Lt 11, Centro de Vivência - SIA, Brasília - DF, 71225-540","06135411413","designstandcomercial@gmail.com","https://sites.google.com/view/designstandeventos","","https://www.instagram.com/url","https://www.google.com.br/maps/place/DESIGN+STAND+E+EVENTOS/data=!4m7!3m6!1s0x935a33a70e7f1eed:0xd3de7ad2cfd1b3f!8m2!3d-15.7911784!4d-47.9887131!16s%2Fg%2F11j5crzc3k!19sChIJ7R5_DqczWpMRPxv9LK3nPQ0?authuser=0&hl=pt-BR&rclk=1","new"
"Smart Buffet - Brasília DF (Eventos Corporativos e Sociais)","empresa de eventos corporativos","Asa Norte Comércio Local Norte 303 Sala 203 - Plano Piloto, Brasília - DF, 70735-530","061985019000","","","","","https://www.google.com.br/maps/place/Smart+Buffet+-+Bras%C3%ADlia+DF+%28Eventos+Corporativos+e+Sociais%29/data=!4m7!3m6!1s0x935a3aff7d2d79ad:0xaf04971fc13f970c!8m2!3d-15.7806219!4d-47.8853425!16s%2Fg%2F11c5rpvryh!19sChIJrXktff86WpMRDJc_wR-XBK8?authuser=0&hl=pt-BR&rclk=1","extracted"
"RSPROMO e RCPROMO EVENTOS CORPORATIVOS","empresa de eventos corporativos","Rua Eduardo Aguirre Calabresi, 161 - Cristo Rei, Curitiba - PR, 80050-390","041996416886","RSPROMO@YAHOO.COM","http://rogeriosalomao.wixsite.com/rspromoeventos","","","https://www.google.com.br/maps/place/RSPROMO+e+RCPROMO+EVENTOS+CORPORATIVOS/data=!4m7!3m6!1s0x94dce5042981b05b:0x607c385c259c5980!8m2!3d-25.4332626!4d-49.2462018!16s%2Fg%2F11g10hcz0x!19sChIJW7CBKQTl3JQRgFmcJVw4fGA?authuser=0&hl=pt-BR&rclk=1","new"
"Mistagoo Eventos","empresa de eventos corporativos","R. Guaianazes, 1045 - Vila Izabel, Curitiba - PR, 80320-114","041996544100","","https://mistagoo.com.br/","","https://www.instagram.com/mistagooagencia","https://www.google.com.br/maps/place/Mistagoo+Eventos/data=!4m7!3m6!1s0x94dce379dfce4c97:0x4591a4f93f18d89b!8m2!3d-25.4633262!4d-49.293017!16s%2Fg%2F11cmn6729n!19sChIJl0zO33nj3JQRm9gYP_mkkUU?authuser=0&hl=pt-BR&rclk=1","extracted"
"Original Eventos - Produção, Assessoria e Cerimonial","empresa de eventos corporativos","Av. Rep. Argentina, 1237 - Sala 607 - Água Verde, Curitiba - PR, 80620-010","041999372463","","https://www.instagram.com/originaleventosoficial","","","https://www.google.com.br/maps/place/Original+Eventos+-+Produ%C3%A7%C3%A3o,+Assessoria+e+Cerimonial/data=!4m7!3m6!1s0x94dce578a3ed5985:0xaa96a9209fb9aea1!8m2!3d-25.4576109!4d-49.2882227!16s%2Fg%2F11gj59v7jv!19sChIJhVnto3jl3JQRoa65nyCplqo?authuser=0&hl=pt-BR&rclk=1","extracted"
"Zoli Eventos Exclusivos by Cris Lissoni","empresa de eventos corporativos","Rua Wenceslau Glaser, 132 - Vila Izabel, Curitiba - PR, 80320-340","041992663450","","http://zolieventos.com.br/","","https://www.instagram.com/zolieventosexclusivos","https://www.google.com.br/maps/place/Zoli+Eventos+Exclusivos+by+Cris+Lissoni/data=!4m7!3m6!1s0x94dce36f7a15c84f:0xf495bf2f61b44d54!8m2!3d-25.4569289!4d-49.300827!16s%2Fg%2F11f7tlmpk1!19sChIJT8gVem_j3JQRVE20YS-_lfQ?authuser=0&hl=pt-BR&rclk=1","extracted"
"Velox Eventos Corporativos","empresa de eventos corporativos","R. Fernando Simas, 705 - Bigorrilho, Curitiba - PR, 80430-190","04130891979","","http://veloxeventos.com/","","","https://www.google.com.br/maps/place/Velox+Eventos+Corporativos/data=!4m7!3m6!1s0x94dce38f5eb2f0ed:0x4efa84047bdb6fab!8m2!3d-25.4299055!4d-49.2899064!16s%2Fg%2F11c2nnhr31!19sChIJ7fCyXo_j3JQRq2_bewSE-k4?authuser=0&hl=pt-BR&rclk=1","extracted"
"RP Promoções Eventos","empresa de eventos corporativos","Av. Sete de Setembro, 4923 - sala 1104 - Batel, Curitiba - PR, 80240-000","041999797023","","http://www.rppromocoes.com.br/","","","https://www.google.com.br/maps/place/RP+Promo%C3%A7%C3%B5es+Eventos/data=!4m7!3m6!1s0x94dce2e5f9c71863:0x9a1e6c3c2eec2a0a!8m2!3d-25.4451927!4d-49.2856634!16s%2Fg%2F11bx9ns7mr!19sChIJYxjH-eXi3JQRCirsLjxsHpo?authuser=0&hl=pt-BR&rclk=1","extracted"
"INFINITY EVENTOS • Staffs • Live Marketing • Corporativo • FILIAL CURITIBA","empresa de eventos corporativos","R. Ary Barroso, 336 - Sla/apto10 - Boa Vista, Curitiba - PR, 82540-000","047996466181","","https://www.instagram.com/infinityeventoscorporativos/","","","https://www.google.com.br/maps/place/INFINITY+EVENTOS+%E2%80%A2+Staffs+%E2%80%A2+Live+Marketing+%E2%80%A2+Corporativo+%E2%80%A2+FILIAL+CURITIBA/data=!4m7!3m6!1s0x94dce76c0cc45d1f:0x32d4624038896de8!8m2!3d-25.3951891!4d-49.2523276!16s%2Fg%2F11yk2l380j!19sChIJH13EDGzn3JQR6G2JOEBi1DI?authuser=0&hl=pt-BR&rclk=1","extracted"
"Agência Esfera","empresa de eventos corporativos","Av. Rep. Argentina, 1228 - Água Verde, Curitiba - PR, 80610-260","04133404300","administrativo@agenciaesfera.com.br","https://agenciaesfera.com.br/","https://www.linkedin.com/company/agencia-esfera","https://www.instagram.com/agencia_esfera","https://www.google.com.br/maps/place/Ag%C3%AAncia+Esfera/data=!4m7!3m6!1s0x94dce385f11942c7:0x2bb39b9ff1afef0f!8m2!3d-25.4573967!4d-49.2889744!16s%2Fg%2F1q6cfqpxl!19sChIJx0IZ8YXj3JQRD--v8Z-bsys?authuser=0&hl=pt-BR&rclk=1","generic_email"
"Elementos Produção de Eventos","empresa de eventos corporativos","Av. Raja Gabáglia, 3117 - São Bento, Belo Horizonte - MG, 30380-103","031992932815","contato@elementosproducaodeeventos.com.br","https://elementosproducaodeeventos.com.br/","https://www.linkedin.com/company/elementos-produ%C3%A7%C3%A3o-de-eventos","https://www.instagram.com/elementosproducaodeeventos","https://www.google.com.br/maps/place/Elementos+Produ%C3%A7%C3%A3o+de+Eventos/data=!4m7!3m6!1s0x2a406877c55f1c6b:0x1c0c2061b5d14a3b!8m2!3d-19.9622297!4d-43.9564985!16s%2Fg%2F11y2dmj25t!19sChIJaxxfxXdoQCoRO0rRtWEgDBw?authuser=0&hl=pt-BR&rclk=1","generic_email"
"Sama Produções e Eventos","empresa de eventos corporativos","R. Siracusa, 83 - Bandeirantes (Pampulha), Belo Horizonte - MG, 31340-530","03132874112","eventos@samaproducoes.com","http://www.samaproducoes.com.br/","https://www.linkedin.com/in/sama-produ%C3%A7%C3%B5es-e-eventos-1ab665195/","https://www.instagram.com/sama.producoes","https://www.google.com.br/maps/place/Sama+Produ%C3%A7%C3%B5es+e+Eventos/data=!4m7!3m6!1s0xa68fe27e11bf27:0xfca3558ed2870bca!8m2!3d-19.8598111!4d-43.9841664!16s%2Fg%2F11bw5_lqrh!19sChIJJ78RfuKPpgARyguH0o5Vo_w?authuser=0&hl=pt-BR&rclk=1","new"
"Bravo Brasil Eventos","empresa de eventos corporativos","R. Tancredo da Silva Pinto, 114 - Silveira, Belo Horizonte - MG, 31140-490","03133181209","bravo@bravobrasil.com","http://www.bravobrasil.com/","https://www.linkedin.com/company/bravo-brasil","https://www.instagram.com/bravobrasilbh","https://www.google.com.br/maps/place/Bravo+Brasil+Eventos/data=!4m7!3m6!1s0xa69764a789d05d:0x500d792856fd6d51!8m2!3d-19.8952941!4d-43.9293866!16s%2Fg%2F1vr1xw8z!19sChIJXdCJp2SXpgARUW39Vih5DVA?authuser=0&hl=pt-BR&rclk=1","new"
"Grupo Bee Eventos","empresa de eventos corporativos","Av. Otacílio Negrão de Lima, 14955 - Pampulha, Belo Horizonte - MG, 31555-026","031990658800","contato@grupobeeeventos.com.br","http://www.grupobeeeventos.com.br/","","https://www.instagram.com/grupobeeeventos","https://www.google.com.br/maps/place/Grupo+Bee+Eventos/data=!4m7!3m6!1s0xa6979841c01f67:0x6b59b68262fd9d44!8m2!3d-19.8503805!4d-43.9826263!16s%2Fg%2F11h0fv6z7!19sChIJZx_AQZiXpgARRJ39YoK2WWs?authuser=0&hl=pt-BR&rclk=1","generic_email"
"Impacto Eventos Produção e Entretenimento Ltda","empresa de eventos corporativos","R. Botelhos - Bonfim, Belo Horizonte - MG, 31210-200","031994421425","","https://www.instagram.com/impactoeventosbr_?igsh=MXN0M2V0aTZ2djU1ZQ==&utm_source=qr","","","https://www.google.com.br/maps/place/Impacto+Eventos+Produ%C3%A7%C3%A3o+e+Entretenimento+Ltda/data=!4m7!3m6!1s0xa697dafdab5267:0xaa7b480178f220a6!8m2!3d-19.9089631!4d-43.9487464!16s%2Fg%2F11y69qb75b!19sChIJZ1Kr_dqXpgARpiDyeAFIe6o?authuser=0&hl=pt-BR&rclk=1","extracted"
"Espaço Vista","empresa de eventos corporativos","Rua Juiz Achilles Velloso, 385 - Estoril, Belo Horizonte - MG, 30494-180","03136438566","tcontato@espacovista.com.br","http://www.espacovista.com.br/","https://www.linkedin.com/company/vista-buffet-espaco","https://www.instagram.com/espacovistabh","https://www.google.com.br/maps/place/Espa%C3%A7o+Vista/data=!4m7!3m6!1s0xa697eaf9e9bc05:0x7b635f90c5f7be2a!8m2!3d-19.9623557!4d-43.9608385!16s%2Fg%2F12ml2l58r!19sChIJBbzp-eqXpgARKr73xZBfY3s?authuser=0&hl=pt-BR&rclk=1","new"
"Panda Inteligência em Eventos","empresa de eventos corporativos","R. Antônio de Albuquerque, 301 - Savassi, Belo Horizonte - MG, 30112-010","03121082121","comercial@pandaevents.com.br","http://www.pandaevents.com.br/","https://www.linkedin.com/company/panda-promo%C3%A7%C3%B5es-e-eventos","https://www.instagram.com/pandaieventos","https://www.google.com.br/maps/place/Panda+Intelig%C3%AAncia+em+Eventos/data=!4m7!3m6!1s0xa699c517e34e43:0x4ba42a8b35cbe73d!8m2!3d-19.9388063!4d-43.9335353!16s%2Fg%2F1v420pp3!19sChIJQ07jF8WZpgARPefLNYsqpEs?authuser=0&hl=pt-BR&rclk=1","generic_email"
"Trion Produção e Promoção de Eventos","empresa de eventos corporativos","Av. Raja Gabáglia, nº 1.617 - 5º Andar - Luxemburgo, Belo Horizonte - MG, 30380-435","031991162579","","https://www.instagram.com/trion_eventos/","","","https://www.google.com.br/maps/place/Trion+Produ%C3%A7%C3%A3o+e+Promo%C3%A7%C3%A3o+de+Eventos/data=!4m7!3m6!1s0xa697a0ed6a0d65:0x6ccc413bb9c9ac00!8m2!3d-19.9447917!4d-43.9566043!16s%2Fg%2F11s4zbydwg!19sChIJZQ1q7aCXpgARAKzJuTtBzGw?authuser=0&hl=pt-BR&rclk=1","extracted"
"Le Cordon Bleu Café e Kofi & Co - Culinary Village","produtora de eventos corporativos","R. Natingui, 862 - 1 andar - Vila Madalena, São Paulo - SP, 05443-001","01131852537","","https://menu.colibricloud.com/app/kofi-co/kofi-co-cv-lcb","","","https://www.google.com.br/maps/place/Le+Cordon+Bleu+Caf%C3%A9+e+Kofi+%26+Co+-+Culinary+Village/data=!4m7!3m6!1s0x94ce5782c2857fd1:0x744d9c8d4c3a4e2a!8m2!3d-23.553959!4d-46.697048!16s%2Fg%2F11l6wvmdsp!19sChIJ0X-FwoJXzpQRKk46TI2cTXQ?authuser=0&hl=pt-BR&rclk=1","extracted"
