empresa,nicho,cidade,telefone,email,site,linkedin,instagram,google_maps_url,status
"Clínica Bela Vista","clínica odontológica","R. Condessa de São Joaquim, 339 - Bela Vista, São Paulo - SP, 01320-000","011989754251","contato@clinicabelavista.com.br","http://www.clinicabelavista.com/","","https://www.instagram.com/clinicabelavista","https://www.google.com.br/maps/place/Cl%C3%ADnica+Bela+Vista/data=!4m7!3m6!1s0x94ce59afb586e677:0x86e220eb1dd3c1d1!8m2!3d-23.5575954!4d-46.640412!16s%2Fg%2F1pp2vjbvm!19sChIJd-aGta9ZzpQR0cHTHesg4oY?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Odontológica Dra. Mayara Vianna | Dentista no Centro de São Paulo","clínica odontológica","R. José Bonifácio, 176 - 4º Andar - Centro Histórico de São Paulo, São Paulo - SP, 01003-000","011964730924","","","","","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+Dra.+Mayara+Vianna+%7C+Dentista+no+Centro+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce594368bbf2f9:0xc2c4fd012f5b648a!8m2!3d-23.5487559!4d-46.6361565!16s%2Fg%2F11mzfjtcpg!19sChIJ-fK7aENZzpQRimRbLwH9xMI?authuser=0&hl=pt-BR&rclk=1","no_website"
"Cia do Sorriso","clínica odontológica","R. Ricardo Leite, 81 - Nossa Sra. da Conceicao, João Monlevade - MG, 35930-017","031989893133","","https://ciajoaomonlevade.wixsite.com/website","","https://www.instagram.com/ciadosorrisomg","https://www.google.com.br/maps/place/Cia+do+Sorriso/data=!4m7!3m6!1s0xa5a9d626ff30e9:0x5f09db634d74933e!8m2!3d-19.8090493!4d-43.1748128!16s%2Fg%2F11c5xg3bf4!19sChIJ6TD_JtappQARPpN0TWPbCV8?authuser=0&hl=pt-BR&rclk=1","has_website"
"Consultório Odontólogico Dra. Lorena Moreira da Silva","clínica odontológica","R. Gomes Batista, 37 - Nossa Sra. da Conceicao, João Monlevade - MG, 35930-033","031988510102","","https://www.instagram.com/dra.lorenamoreira?igsh=MXRsYnpubmVyODQ=&utm_source=qr","","","https://www.google.com.br/maps/place/Consult%C3%B3rio+Odont%C3%B3logico+Dra.+Lorena+Moreira+da+Silva/data=!4m7!3m6!1s0xa507453363ea2b:0xac1f214fbd1d8cac!8m2!3d-19.8095184!4d-43.1731094!16s%2Fg%2F11h1knt0q0!19sChIJK-pjM0UHpQARrIwdvU8hH6w?authuser=0&hl=pt-BR&rclk=1","has_website"
"Oral Unic","clínica odontológica","Av. Barão de Itapura, 1888 - Botafogo, Campinas - SP, 13020-433","01933656200","administrativo@oraluniccampinas.com.br","http://www.oralunic.com.br/campinas-sp","","https://www.instagram.com/oraluniccampinas","https://www.google.com.br/maps/place/Oral+Unic/data=!4m7!3m6!1s0x94c8c7ecb1602157:0x4fefba32d3f45a45!8m2!3d-22.8890116!4d-47.0610176!16s%2Fg%2F11grv68s2m!19sChIJVyFgsezHyJQRRVr00zK6708?authuser=0&hl=pt-BR&rclk=1","has_website"
"Dentista 24 Horas Campinas","clínica odontológica","R. Dr. Emílio Ribas, 805 - sala 61 - Cambuí, Campinas - SP, 13025-141","019994095553","","https://www.dentista24horascampinas.com.br/google-meu-negocio/","","","https://www.google.com.br/maps/place/Dentista+24+Horas+Campinas/data=!4m7!3m6!1s0x94c8cf4fcd557493:0xc767223c04ea1f59!8m2!3d-22.8974283!4d-47.0508459!16s%2Fg%2F11b7xhctpq!19sChIJk3RVzU_PyJQRWR_qBDwiZ8c?authuser=0&hl=pt-BR&rclk=1","has_website"
"Oral Clin Campinas","clínica odontológica","Rua Barão de Jaguara, 1147 - Centro, Campinas - SP, 13026-910","01925134344","","https://www.oralclincampinas.com.br/","","","https://www.google.com.br/maps/place/Oral+Clin+Campinas/data=!4m7!3m6!1s0x94c8c8b4a6bc5881:0x2986859ecee1c85c!8m2!3d-22.9046045!4d-47.0590266!16s%2Fg%2F11g9m6638x!19sChIJgVi8prTIyJQRXMjhzp6Fhik?authuser=0&hl=pt-BR&rclk=1","has_website"
"Odontologia 24 Horas Campinas","clínica odontológica","Av. Aquidabã, 883 - Sala 12 - Bosque, Campinas - SP, 13015-210","019994095553","","https://www.dentista24horascampinas.com.br/google-meu-negocio/","","","https://www.google.com.br/maps/place/Odontologia+24+Horas+Campinas/data=!4m7!3m6!1s0x94c8cf092d518187:0x55ae489a298bd678!8m2!3d-22.9087441!4d-47.0521771!16s%2Fg%2F11k0s56hf5!19sChIJh4FRLQnPyJQReNaLKZpIrlU?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Odontológica | Rede Odonto Campinas","clínica odontológica","Av. Francisco Glicério, 1246 - 3º andar - Centro, Campinas - SP, 13012-100","01932031404","recepcao@redeodonto.com.br","https://www.redeodonto.com.br/rede-odonto-campinas","","https://www.instagram.com/redeodonto.campinas","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+%7C+Rede+Odonto+Campinas/data=!4m7!3m6!1s0x94c8c9e65364f2fd:0x805cf4e0a8e22a93!8m2!3d-22.9036877!4d-47.0601077!16s%2Fg%2F11gjp76pp7!19sChIJ_fJkU-bJyJQRkyriqOD0XIA?authuser=0&hl=pt-BR&rclk=1","has_website"
"Sorridents Anhangabaú: Clínica Odontológica, Dentista, Implante Dentário, São Paulo SP","clínica odontológica","R. Conselheiro Crispiniano, 68 - República, São Paulo - SP, 01037-000","01132140971","sp.anhangabau@sorridents.com.br","https://sorridents.com.br/unidade/anhangabau","","https://www.instagram.com/sorridents_clinicas","https://www.google.com.br/maps/place/Sorridents+Anhangaba%C3%BA:+Cl%C3%ADnica+Odontol%C3%B3gica,+Dentista,+Implante+Dent%C3%A1rio,+S%C3%A3o+Paulo+SP/data=!4m7!3m6!1s0x94ce59dd3285813f:0xe58fb185c696568d!8m2!3d-23.5464421!4d-46.6400285!16s%2Fg%2F11j3sg9fg7!19sChIJP4GFMt1ZzpQRjVaWxoWxj-U?authuser=0&hl=pt-BR&rclk=1","has_website"
"Domo Odontologia Clínica e Atendimento 24 horas","clínica odontológica","Av. Rebouças, 2907 - Pinheiros, São Paulo - SP, 05401-350","011996390182","","https://domoclinica.com.br/","","https://www.instagram.com/domoclinica","https://www.google.com.br/maps/place/Domo+Odontologia+Cl%C3%ADnica+e+Atendimento+24+horas/data=!4m7!3m6!1s0x94ce5774f865dc5f:0xdd89cddf64d8d175!8m2!3d-23.5695086!4d-46.6873543!16s%2Fg%2F1tj470h3!19sChIJX9xl-HRXzpQRddHYZN_Nid0?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Bela Vista","clínica odontológica","R. Condessa de São Joaquim, 339 - Bela Vista, São Paulo - SP, 01320-000","011989754251","contato@clinicabelavista.com.br","http://www.clinicabelavista.com/","","https://www.instagram.com/clinicabelavista","https://www.google.com.br/maps/place/Cl%C3%ADnica+Bela+Vista/data=!4m7!3m6!1s0x94ce59afb586e677:0x86e220eb1dd3c1d1!8m2!3d-23.5575954!4d-46.640412!16s%2Fg%2F1pp2vjbvm!19sChIJd-aGta9ZzpQR0cHTHesg4oY?authuser=0&hl=pt-BR&rclk=1","has_website"
"Odonto Sorriso – Clínica Odontológica em São Paulo","clínica odontológica","R. Sete de Abril, 235 - 4º Andar - Conjunto 401 - República, São Paulo - SP, 01043-000","01132370210","","https://odontosorrisosp.com.br/","","https://www.instagram.com/odontosorrisosp","https://www.google.com.br/maps/place/Odonto+Sorriso+%E2%80%93+Cl%C3%ADnica+Odontol%C3%B3gica+em+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce585201d601c5:0xd264997c12b806ed!8m2!3d-23.5458384!4d-46.6413893!16s%2Fg%2F11bytn763p!19sChIJxQHWAVJYzpQR7Qa4EnyZZNI?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Odontológica Dra. Mayara Vianna | Dentista no Centro de São Paulo","clínica odontológica","R. José Bonifácio, 176 - 4º Andar - Centro Histórico de São Paulo, São Paulo - SP, 01003-000","011964730924","","","","","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+Dra.+Mayara+Vianna+%7C+Dentista+no+Centro+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce594368bbf2f9:0xc2c4fd012f5b648a!8m2!3d-23.5487559!4d-46.6361565!16s%2Fg%2F11mzfjtcpg!19sChIJ-fK7aENZzpQRimRbLwH9xMI?authuser=0&hl=pt-BR&rclk=1","no_website"
"Cia do Sorriso","clínica odontológica","R. Ricardo Leite, 81 - Nossa Sra. da Conceicao, João Monlevade - MG, 35930-017","031989893133","","https://ciajoaomonlevade.wixsite.com/website","","https://www.instagram.com/ciadosorrisomg","https://www.google.com.br/maps/place/Cia+do+Sorriso/data=!4m7!3m6!1s0xa5a9d626ff30e9:0x5f09db634d74933e!8m2!3d-19.8090493!4d-43.1748128!16s%2Fg%2F11c5xg3bf4!19sChIJ6TD_JtappQARPpN0TWPbCV8?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Odontológica REOP","clínica odontológica","Piso Paulista - Av. Paulista, 1499 - Conj 23 - Bela Vista, São Paulo - SP, 01311-200","01132621625","","http://reop.com.br/","","","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+REOP/data=!4m7!3m6!1s0x94ce59c92dbead49:0x2e9e71de33611338!8m2!3d-23.5623374!4d-46.6558767!16s%2Fg%2F1ptw6rgf9!19sChIJSa2-LclZzpQROBNhM95xni4?authuser=0&hl=pt-BR&rclk=1","has_website"
"São Paulo Dental Stúdio","clínica odontológica","Av. Angélica, 2582 - 1° andar - Higienópolis, São Paulo - SP, 01228-200","011945068360","","http://www.saopaulodentalstudio.com.br/","","https://www.instagram.com/saopaulodentalstudio","https://www.google.com.br/maps/place/S%C3%A3o+Paulo+Dental+St%C3%BAdio/data=!4m7!3m6!1s0x94ce596591bc6c85:0x2ee4316aaf1be4a8!8m2!3d-23.5541426!4d-46.6629086!16s%2Fg%2F11kxlf1lq1!19sChIJhWy8kWVZzpQRqOQbr2ox5C4?authuser=0&hl=pt-BR&rclk=1","has_website"
"Oral Clin Campinas","clínica odontológica","Rua Barão de Jaguara, 1147 - Centro, Campinas - SP, 13026-910","01925134344","","https://www.oralclincampinas.com.br/","","","https://www.google.com.br/maps/place/Oral+Clin+Campinas/data=!4m7!3m6!1s0x94c8c8b4a6bc5881:0x2986859ecee1c85c!8m2!3d-22.9046045!4d-47.0590266!16s%2Fg%2F11g9m6638x!19sChIJgVi8prTIyJQRXMjhzp6Fhik?authuser=0&hl=pt-BR&rclk=1","has_website"
"Oral Unic","clínica odontológica","Av. Barão de Itapura, 1888 - Botafogo, Campinas - SP, 13020-433","01933656200","administrativo@oraluniccampinas.com.br","http://www.oralunic.com.br/campinas-sp","","https://www.instagram.com/oraluniccampinas","https://www.google.com.br/maps/place/Oral+Unic/data=!4m7!3m6!1s0x94c8c7ecb1602157:0x4fefba32d3f45a45!8m2!3d-22.8890116!4d-47.0610176!16s%2Fg%2F11grv68s2m!19sChIJVyFgsezHyJQRRVr00zK6708?authuser=0&hl=pt-BR&rclk=1","has_website"
"Dentista 24 Horas Campinas","clínica odontológica","R. Dr. Emílio Ribas, 805 - sala 61 - Cambuí, Campinas - SP, 13025-141","019994095553","","https://www.dentista24horascampinas.com.br/google-meu-negocio/","","","https://www.google.com.br/maps/place/Dentista+24+Horas+Campinas/data=!4m7!3m6!1s0x94c8cf4fcd557493:0xc767223c04ea1f59!8m2!3d-22.8974283!4d-47.0508459!16s%2Fg%2F11b7xhctpq!19sChIJk3RVzU_PyJQRWR_qBDwiZ8c?authuser=0&hl=pt-BR&rclk=1","has_website"
"OdontoCompany - Centro - Campinas - Prótese Protocolo | Implantes Dentários","clínica odontológica","Av. Dr. Thomaz Alves, 10 - 1º andar - Centro, Campinas - SP, 13010-160","019999765181","hopeegestordigital@gmail.com","https://sorrisorapidoem72horas.com.br/","","https://www.instagram.com/odontocompanycampinascentro","https://www.google.com.br/maps/place/OdontoCompany+-+Centro+-+Campinas+-+Pr%C3%B3tese+Protocolo+%7C+Implantes+Dent%C3%A1rios/data=!4m7!3m6!1s0x94c8c8b315e7d3d1:0x7af69290b5073683!8m2!3d-22.9031085!4d-47.0595121!16s%2Fg%2F11g7zdqccj!19sChIJ0dPnFbPIyJQRgzYHtZCS9no?authuser=0&hl=pt-BR&rclk=1","has_website"
"Odontologia 24 Horas Campinas","clínica odontológica","Av. Aquidabã, 883 - Sala 12 - Bosque, Campinas - SP, 13015-210","019994095553","","https://www.dentista24horascampinas.com.br/google-meu-negocio/","","","https://www.google.com.br/maps/place/Odontologia+24+Horas+Campinas/data=!4m7!3m6!1s0x94c8cf092d518187:0x55ae489a298bd678!8m2!3d-22.9087441!4d-47.0521771!16s%2Fg%2F11k0s56hf5!19sChIJh4FRLQnPyJQReNaLKZpIrlU?authuser=0&hl=pt-BR&rclk=1","has_website"
"Smile Center Campinas Clínica Odontológica","clínica odontológica","esquina com - Rua Carlos Gerin, R. Dr. Miguel Penteado, 07 - Jardim Guanabara, Campinas - SP, 13070-144","01932411840","","https://smilecampinas.com.br/","","https://www.instagram.com/smilecenter.campinas","https://www.google.com.br/maps/place/Smile+Center+Campinas+Cl%C3%ADnica+Odontol%C3%B3gica/data=!4m7!3m6!1s0x94c8c62047a150a7:0xe6ac9446e9a3a851!8m2!3d-22.8908125!4d-47.0734461!16s%2Fg%2F11b7q0pfrp!19sChIJp1ChRyDGyJQRUaij6UaUrOY?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Odontológica | Rede Odonto Campinas","clínica odontológica","Av. Francisco Glicério, 1246 - 3º andar - Centro, Campinas - SP, 13012-100","01932031404","recepcao@redeodonto.com.br","https://www.redeodonto.com.br/rede-odonto-campinas","","https://www.instagram.com/redeodonto.campinas","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+%7C+Rede+Odonto+Campinas/data=!4m7!3m6!1s0x94c8c9e65364f2fd:0x805cf4e0a8e22a93!8m2!3d-22.9036877!4d-47.0601077!16s%2Fg%2F11gjp76pp7!19sChIJ_fJkU-bJyJQRkyriqOD0XIA?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica do Dente Campinas","clínica odontológica","R. Cônego Nery, 350 - Jardim Guanabara, Campinas - SP, 13073-180","019999736456","","https://clinicadodentecampinas.com.br/","","","https://www.google.com.br/maps/place/Cl%C3%ADnica+do+Dente+Campinas/data=!4m7!3m6!1s0x94c8cf4e958d6ff5:0x923e92b3894c3212!8m2!3d-22.8853599!4d-47.0595374!16s%2Fg%2F11bc96bph1!19sChIJ9W-NlU7PyJQREjJMibOSPpI?authuser=0&hl=pt-BR&rclk=1","broken_website"
"Instituto Oral Premium - Dentista 24 Horas","clínica odontológica","Av. Getúlio Vargas, 1649 - Savassi, Belo Horizonte - MG, 30112-024","031997367514","oralpremium24horas@gmail.com","http://dentista24horas.net.br/","https://www.linkedin.com/in/jimmy-principe-506740109","https://www.instagram.com/institutopremium24h","https://www.google.com.br/maps/place/Instituto+Oral+Premium+-+Dentista+24+Horas/data=!4m7!3m6!1s0xa69720665b5827:0xb08253386a1d9b9c!8m2!3d-19.939687!4d-43.937823!16s%2Fg%2F11fp3q37p0!19sChIJJ1hbZiCXpgARnJsdajhTgrA?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Hálitopuro","clínica odontológica","Av. do Contorno, 4747 - sala 412 - Funcionários, Belo Horizonte - MG, 30110-921","03132279527","clinica@halitopuro.com.br","http://www.halitopuro.com.br/","","https://www.instagram.com/clinicahalitopuro","https://www.google.com.br/maps/place/Cl%C3%ADnica+H%C3%A1litopuro/data=!4m7!3m6!1s0xa699c07309e1df:0xc4d9012449e13fa8!8m2!3d-19.935346!4d-43.924515!16s%2Fg%2F1tdvldqb!19sChIJ3-EJc8CZpgARqD_hSSQB2cQ?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Odontológica | Rede Odonto Centro BH","clínica odontológica","R. dos Tamóios, 666 - Sala: 805 - Centro, Belo Horizonte - MG, 30120-050","03121161254","","","","","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+%7C+Rede+Odonto+Centro+BH/data=!4m7!3m6!1s0xa699e2b71e6dfd:0x8a3a0a5f1d264a7d!8m2!3d-19.9192209!4d-43.94268!16s%2Fg%2F11gbk4zv78!19sChIJ_W0et-KZpgARfUomHV8KOoo?authuser=0&hl=pt-BR&rclk=1","no_website"
"Clinica Odontológica Bias Fortes Belo Horizonte","clínica odontológica","Av. Bias Fortes, 247 - Lourdes, Belo Horizonte - MG, 30170-010","03130581862","%20biasfortes@biasfortes.com.br","http://www.clinicabiasfortes.com.br/","","https://www.instagram.com/biasfortesodontologia","https://www.google.com.br/maps/place/Clinica+Odontol%C3%B3gica+Bias+Fortes+Belo+Horizonte/data=!4m7!3m6!1s0xa699de5e62f6cd:0xd4f80c3462184016!8m2!3d-19.9310065!4d-43.9402988!16s%2Fg%2F1tycxwxk!19sChIJzfZiXt6ZpgARFkAYYjQM-NQ?authuser=0&hl=pt-BR&rclk=1","has_website"
"Alegro Clínica Odontológica","clínica odontológica","Av. Afonso Pena, 732 - Centro, Belo Horizonte - MG, 30130-003","031994660252","","https://alegroclinica.com.br/","","","https://www.google.com.br/maps/place/Alegro+Cl%C3%ADnica+Odontol%C3%B3gica/data=!4m7!3m6!1s0xa699fb52311993:0x80b42590bcdc6ce!8m2!3d-19.9198302!4d-43.9384908!16s%2Fg%2F1td9rrrv!19sChIJkxkxUvuZpgARzsbNC1lCCwg?authuser=0&hl=pt-BR&rclk=1","broken_website"
"Odontoart Clínica Odontológica Belo Horizonte","clínica odontológica","Av. Brasil, 1831 - sala 609 - Savassi, Belo Horizonte - MG, 30140-901","03141340506","","","","","https://www.google.com.br/maps/place/Odontoart+Cl%C3%ADnica+Odontol%C3%B3gica+Belo+Horizonte/data=!4m7!3m6!1s0xa69950d77b8099:0x20363876f60a48f8!8m2!3d-19.9322442!4d-43.9355421!16s%2Fg%2F11z0g85dx8!19sChIJmYB711CZpgAR-EgK9nY4NiA?authuser=0&hl=pt-BR&rclk=1","no_website"
"Clínica Le Deux","clínica odontológica","Av. Brasil, 1479 - sala 502 - Savassi, Belo Horizonte - MG, 30140-005","03135689948","","http://www.ledeuxodontologia.com.br/","","https://www.instagram.com/clinicaledeux_","https://www.google.com.br/maps/place/Cl%C3%ADnica+Le+Deux/data=!4m7!3m6!1s0xa6991e64c03f03:0x7c00066768d9794!8m2!3d-19.9305435!4d-43.9325392!16s%2Fg%2F11jzgjkqw9!19sChIJAz_AZB6ZpgARlJeNdmYAwAc?authuser=0&hl=pt-BR&rclk=1","has_website"
"Horizonte Clínica Odontológica","clínica odontológica","Av. Augusto de Lima, 1596 - | Sala 203 - Barro Preto, Belo Horizonte - MG, 30190-003","03132950212","","https://horizonteodontologia.com.br/","","https://www.instagram.com/horizonteodontologia_","https://www.google.com.br/maps/place/Horizonte+Cl%C3%ADnica+Odontol%C3%B3gica/data=!4m7!3m6!1s0xa6973468606ad1:0x938d4880e823f30!8m2!3d-19.921025!4d-43.9512761!16s%2Fg%2F11js4mv_dz!19sChIJ0WpgaDSXpgARMD-CDojUOAk?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica You Odonto","clínica odontológica","R. Brig. Franco, 3323 - Rebouças, Curitiba - PR, 80220-100","041984979594","","http://www.youodonto.com.br/","","","https://www.google.com.br/maps/place/Cl%C3%ADnica+You+Odonto/data=!4m7!3m6!1s0x94dce4731b98299b:0x1dabf8f3f3528052!8m2!3d-25.4489759!4d-49.2727128!16s%2Fg%2F11dxchxx2n!19sChIJmymYG3Pk3JQRUoBS8_P4qx0?authuser=0&hl=pt-BR&rclk=1","has_website"
